"Раздел","Группа","Поле","Тип","Варианты / источник","Примечание"
"Проект","","Адрес объекта","текст","",""
"Проект","","Название проекта","текст","","= имя вкладки браузера"
"Проект","","Расположение","выбор","В помещении; На улице; Смешанное",""
"Проект","","Номер договора","текст","",""
"Проект","","Контактное лицо заказчика","текст","",""
"Проект","","Рисунки проекта","файл","","план, разрезы"
"Конструкции","Полы","Основа","выбор","список: основа",""
"Конструкции","Полы","Толщина основы","текст","","мм"
"Конструкции","Полы","Отделка","выбор","список: отделка",""
"Конструкции","Полы","Толщина отделки","текст","","мм"
"Конструкции","Стены","Основа","выбор","список: основа",""
"Конструкции","Стены","Толщина основы","текст","","мм"
"Конструкции","Стены","Отделка","выбор","список: отделка",""
"Конструкции","Стены","Толщина отделки","текст","","мм"
"Конструкции","Колонны","Основа","выбор","список: основа",""
"Конструкции","Колонны","Толщина основы","текст","","мм"
"Конструкции","Колонны","Отделка","выбор","список: отделка",""
"Конструкции","Колонны","Толщина отделки","текст","","мм"
"Конструкции","Потолок","Основа","выбор","список: основа",""
"Конструкции","Потолок","Отделка","выбор","список: отделка",""
"Конструкции","","Коммуникации открытые","текст","",""
"Конструкции","","Коммуникации скрытые","текст","",""
"Модуль","","Название","текст","","повторяется по числу модулей"
"Модуль","","Тип модуля","выбор","Обычный модуль; Типовой элемент",""
"Модуль","","Типовой элемент","выбор","список: типовой_элемент","виден если тип = Типовой элемент"
"Модуль","","Высота","текст","","м"
"Модуль","","Протяжённость / ширина","текст","","м"
"Модуль","","Вылаз наверх","тумблер","да/нет",""
"Модуль","","Геометрия плоскостей","мультивыбор","список: геометрия",""
"Модуль","","Тип панели","выбор","список: панель",""
"Модуль","","Тип мата","выбор","список: мат",""
"Модуль","Крепление каркаса","к полу","выбор","список: крепёж",""
"Модуль","Крепление каркаса","к стенам","выбор","список: крепёж",""
"Модуль","Крепление каркаса","к колоннам","выбор","список: крепёж",""
"Модуль","Крепление каркаса","к потолку","выбор","список: крепёж",""
"Модуль","Крепление каркаса","уточнение","текст","","напр. к антресоли на 4,6м"
"Модуль","Крепление матов","способ","выбор","список: крепёж","отдельно от каркаса"
"Модуль","","Каркас","выбор","список: каркас","сквозное, есть «ко всем»"
"Модуль","","Толщина фанеры","текст","","мм; сквозное, есть «ко всем»"
"Модуль","","Покрытие фанеры","выбор","список: покрытие","сквозное, есть «ко всем»"
"Модуль","","Верхняя кромка","текст","",""
"Модуль","","Особые требования","текст","",""
"Модуль","","Рисунки модуля","файл","",""
