category;name;carrier;finish;note;description
construction;Ж/б плита 220 мм;Ж/б;Без отделки;Основное перекрытие;
construction;Пеноблок 200 мм;Пеноблок;Штукатурка;Внутренние стены;
construction;Ж/б 400х400 колонна;Ж/б;Гипсокартон;Основные колонны;
construction;Сэндвич 150 мм;Сэндвич;Окрашено;Ограждающие конструкции;
panel;Фанера 18 мм, М10;;;;Сетка 150–160 мм, менее 25 шт/м²
panel;Фанера 21 мм, М10;;;;Сетка 150–160 мм, менее 25 шт/м², усиленная
mat;ПВХ 900 гр/м²;;;;Серый, 300 мм, ПВВ 45гр 50мм + EL 22гр 250мм
mat;Ковролин армированный;;;;Серый, 250 мм, полиамид на велкро
element;Kilterboard;;;;Типовой тренажёр с рамой, панелями, двигателями и разметкой
element;Moonboard;;;;Типовой тренажёр Moon Climbing
element;Tensionboard;;;;Типовой тренажёр с регулировкой наклона
